3 4 | 1 2 3 5 4 6 7 1 __distance:65 accepted!
3 4 | 1 2 3 4 5 6 7 1 __distance:69  random accepted!
3 4 | 1 2 3 5 4 6 7 1 __distance:65 accepted!
3 4 | 1 2 3 4 5 6 7 1 __distance:69  random accepted!
1 2 | 1 3 2 4 5 6 7 1 __distance:68 accepted!
4 5 | 1 3 2 4 6 5 7 1 __distance:65 accepted!
4 5 | 1 3 2 4 5 6 7 1 __distance:68  random accepted!
1 6 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
5 6 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
5 6 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
2 3 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
2 3 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
4 5 | 1 7 6 5 3 4 2 1 __distance:65 accepted!
2 4 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
1 6 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 2 | 1 3 7 5 6 4 2 1 __distance:66  random accepted!
2 3 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
2 3 | 1 3 7 5 6 4 2 1 __distance:66  random accepted!
2 3 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
2 3 | 1 3 7 5 6 4 2 1 __distance:66  random accepted!
1 2 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
1 6 | 1 3 7 5 6 4 2 1 __distance:66 accepted!
1 2 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
1 6 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
2 4 | 1 7 6 5 3 4 2 1 __distance:65  random accepted!
2 4 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
3 4 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 5 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
1 5 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 5 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
2 3 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
5 6 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
1 5 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
1 5 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
5 6 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
5 6 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
5 6 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
5 6 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
5 6 | 1 7 5 6 4 3 2 1 __distance:66  random accepted!
1 6 | 1 2 3 4 6 5 7 1 __distance:66 accepted!
4 5 | 1 2 3 4 5 6 7 1 __distance:69  random accepted!
1 6 | 1 7 6 5 4 3 2 1 __distance:69 accepted!
4 5 | 1 7 6 5 3 4 2 1 __distance:65 accepted!
2 4 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 2 | 1 3 7 5 6 4 2 1 __distance:66  random accepted!
2 3 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
4 5 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
4 5 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
4 5 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
3 5 | 1 2 4 3 5 6 7 1 __distance:65  random accepted!
3 5 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
4 5 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
4 5 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
3 4 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 5 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
1 5 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 5 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
2 3 | 1 7 5 6 4 2 3 1 __distance:65 accepted!
1 5 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
3 4 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 5 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
5 6 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
1 6 | 1 2 3 4 5 6 7 1 __distance:69 accepted!
4 5 | 1 2 3 4 6 5 7 1 __distance:66 accepted!
1 6 | 1 7 5 6 4 3 2 1 __distance:66 accepted!
2 3 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
4 5 | 1 7 6 5 3 4 2 1 __distance:65 accepted!
2 4 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
2 4 | 1 7 6 5 3 4 2 1 __distance:65  random accepted!
2 4 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
1 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
1 6 | 1 7 3 5 6 4 2 1 __distance:64 accepted!
2 4 | 1 7 6 5 3 4 2 1 __distance:65  random accepted!
4 5 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
4 5 | 1 7 6 5 3 4 2 1 __distance:65 accepted!
4 5 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
2 3 | 1 7 5 6 4 3 2 1 __distance:66 accepted!
2 3 | 1 7 6 5 4 3 2 1 __distance:69  random accepted!
5 6 | 1 7 6 5 4 2 3 1 __distance:68 accepted!
1 5 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 6 | 1 3 7 6 5 4 2 1 __distance:69 accepted!
1 6 | 1 2 4 5 6 7 3 1 __distance:69 accepted!
3 4 | 1 2 4 6 5 7 3 1 __distance:66 accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
3 5 | 1 2 4 3 5 6 7 1 __distance:65  random accepted!
3 5 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
5 6 | 1 2 4 6 5 3 7 1 __distance:64 accepted!
5 6 | 1 2 4 6 5 7 3 1 __distance:66  random accepted!
3 4 | 1 2 4 5 6 7 3 1 __distance:69  random accepted!
1 6 | 1 3 7 6 5 4 2 1 __distance:69 accepted!
1 6 | 1 2 4 5 6 7 3 1 __distance:69 accepted!
3 4 | 1 2 4 6 5 7 3 1 __distance:66 accepted!
4 5 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
1 6 | 1 2 4 6 7 5 3 1 __distance:63 accepted!
1 6 | 1 3 5 7 6 4 2 1 __distance:63 accepted!
